* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
,서구,,합계,79,73,69,71,75,58,83,113,75,75,74,220,173,82
,,,관할시군구내,30,33,33,37,44,35,43,56,39,44,40,90,70,45
,,,관할시도내,36,31,23,25,24,15,30,46,31,25,30,89,67,31
,,,관할시도외_서울,5,1,3,2,2,1,1,2,2,0,0,3,7,2
,,,관할시도외_기타,8,8,10,7,5,7,9,9,3,6,4,38,29,4
,동구,,합계,74,67,84,106,63,79,135,146,58,90,180,265,216,87
,,,관할시군구내,19,17,29,32,24,34,42,47,24,28,54,61,46,26
,,,관할시도내,42,33,42,46,27,33,71,64,20,48,89,145,130,42
,,,관할시도외_서울,5,5,0,5,3,4,2,6,3,3,6,8,4,1
,,,관할시도외_기타,8,12,13,23,9,8,20,29,11,11,31,51,36,18
,영도구,,합계,122,83,108,118,105,108,110,149,108,126,175,352,410,111
,,,관할시군구내,72,55,72,72,69,65,67,94,67,80,109,123,172,51
,,,관할시도내,36,16,21,23,26,22,33,37,27,30,42,127,134,34
,,,관할시도외_서울,3,2,1,6,1,6,3,2,0,2,3,10,21,1
,,,관할시도외_기타,11,10,14,17,9,15,7,16,14,14,21,92,83,25
,부산진구,,합계,650,600,536,486,416,463,810,1081,428,519,1037,1761,1308,327
,,,관할시군구내,267,249,290,271,262,216,319,452,218,264,462,805,595,164
,,,관할시도내,209,157,171,141,112,167,299,459,152,190,406,704,495,105
,,,관할시도외_서울,9,9,13,10,3,3,33,22,11,8,22,29,31,5
,,,관할시도외_기타,165,185,62,64,39,77,159,148,47,57,147,223,187,53
,동래구,,합계,824,508,446,375,257,391,654,960,463,611,731,1273,388,179
